Id,Date,DateLongDescription,DateShortDescription,DayLongName,DayShortName,MonthLongName,MonthShortName,CalendarDay,CalendarWeek,CalendarWeekStartDateId,CalendarWeekEndDateId,CalendarDayInWeek,CalendarMonth,CalendarMonthStartDateId,CalendarMonthEndDateId,CalendarNumberOfDaysInMonth,CalendarDayInMonth,CalendarQuarter,CalendarQuarterStartDateId,CalendarQuarterEndDateId,CalendarNumberOfDaysInQuarter,CalendarDayInQuarter,CalendarYear,CalendarYearStartDateId,CalendarYearEndDateId,CalendarNumberOfDaysInYear
"8991","1990-02-21","Wednesday, February 21, 1990","Feb 21, 1990","Wednesday","Wed","February","Feb","52","8","8989","8995","3","2","8971","8998","28","21","1","8871","9101","90","52","1990","8871","10001","365"
"8992","1990-02-22","Thursday, February 22, 1990","Feb 22, 1990","Thursday","Thu","February","Feb","53","8","8989","8995","4","2","8971","8998","28","22","1","8871","9101","90","53","1990","8871","10001","365"
"8993","1990-02-23","Friday, February 23, 1990","Feb 23, 1990","Friday","Fri","February","Feb","54","8","8989","8995","5","2","8971","8998","28","23","1","8871","9101","90","54","1990","8871","10001","365"
"8994","1990-02-24","Saturday, February 24, 1990","Feb 24, 1990","Saturday","Sat","February","Feb","55","8","8989","8995","6","2","8971","8998","28","24","1","8871","9101","90","55","1990","8871","10001","365"
"8995","1990-02-25","Sunday, February 25, 1990","Feb 25, 1990","Sunday","Sun","February","Feb","56","8","8989","8995","7","2","8971","8998","28","25","1","8871","9101","90","56","1990","8871","10001","365"
"8996","1990-02-26","Monday, February 26, 1990","Feb 26, 1990","Monday","Mon","February","Feb","57","9","8996","9074","1","2","8971","8998","28","26","1","8871","9101","90","57","1990","8871","10001","365"
"8997","1990-02-27","Tuesday, February 27, 1990","Feb 27, 1990","Tuesday","Tue","February","Feb","58","9","8996","9074","2","2","8971","8998","28","27","1","8871","9101","90","58","1990","8871","10001","365"
"8998","1990-02-28","Wednesday, February 28, 1990","Feb 28, 1990","Wednesday","Wed","February","Feb","59","9","8996","9074","3","2","8971","8998","28","28","1","8871","9101","90","59","1990","8871","10001","365"
"9071","1990-03-01","Thursday, March 1, 1990","Mar 1, 1990","Thursday","Thu","March","Mar","60","9","8996","9074","4","3","9071","9101","31","1","1","8871","9101","90","60","1990","8871","10001","365"
"9072","1990-03-02","Friday, March 2, 1990","Mar 2, 1990","Friday","Fri","March","Mar","61","9","8996","9074","5","3","9071","9101","31","2","1","8871","9101","90","61","1990","8871","10001","365"
"9073","1990-03-03","Saturday, March 3, 1990","Mar 3, 1990","Saturday","Sat","March","Mar","62","9","8996","9074","6","3","9071","9101","31","3","1","8871","9101","90","62","1990","8871","10001","365"
"9074","1990-03-04","Sunday, March 4, 1990","Mar 4, 1990","Sunday","Sun","March","Mar","63","9","8996","9074","7","3","9071","9101","31","4","1","8871","9101","90","63","1990","8871","10001","365"
"9075","1990-03-05","Monday, March 5, 1990","Mar 5, 1990","Monday","Mon","March","Mar","64","10","9075","9081","1","3","9071","9101","31","5","1","8871","9101","90","64","1990","8871","10001","365"
"9076","1990-03-06","Tuesday, March 6, 1990","Mar 6, 1990","Tuesday","Tue","March","Mar","65","10","9075","9081","2","3","9071","9101","31","6","1","8871","9101","90","65","1990","8871","10001","365"
"9077","1990-03-07","Wednesday, March 7, 1990","Mar 7, 1990","Wednesday","Wed","March","Mar","66","10","9075","9081","3","3","9071","9101","31","7","1","8871","9101","90","66","1990","8871","10001","365"
"9078","1990-03-08","Thursday, March 8, 1990","Mar 8, 1990","Thursday","Thu","March","Mar","67","10","9075","9081","4","3","9071","9101","31","8","1","8871","9101","90","67","1990","8871","10001","365"
"9079","1990-03-09","Friday, March 9, 1990","Mar 9, 1990","Friday","Fri","March","Mar","68","10","9075","9081","5","3","9071","9101","31","9","1","8871","9101","90","68","1990","8871","10001","365"
"9080","1990-03-10","Saturday, March 10, 1990","Mar 10, 1990","Saturday","Sat","March","Mar","69","10","9075","9081","6","3","9071","9101","31","10","1","8871","9101","90","69","1990","8871","10001","365"
"9081","1990-03-11","Sunday, March 11, 1990","Mar 11, 1990","Sunday","Sun","March","Mar","70","10","9075","9081","7","3","9071","9101","31","11","1","8871","9101","90","70","1990","8871","10001","365"
"9082","1990-03-12","Monday, March 12, 1990","Mar 12, 1990","Monday","Mon","March","Mar","71","11","9082","9088","1","3","9071","9101","31","12","1","8871","9101","90","71","1990","8871","10001","365"
"9083","1990-03-13","Tuesday, March 13, 1990","Mar 13, 1990","Tuesday","Tue","March","Mar","72","11","9082","9088","2","3","9071","9101","31","13","1","8871","9101","90","72","1990","8871","10001","365"
"9084","1990-03-14","Wednesday, March 14, 1990","Mar 14, 1990","Wednesday","Wed","March","Mar","73","11","9082","9088","3","3","9071","9101","31","14","1","8871","9101","90","73","1990","8871","10001","365"
"9085","1990-03-15","Thursday, March 15, 1990","Mar 15, 1990","Thursday","Thu","March","Mar","74","11","9082","9088","4","3","9071","9101","31","15","1","8871","9101","90","74","1990","8871","10001","365"
"9086","1990-03-16","Friday, March 16, 1990","Mar 16, 1990","Friday","Fri","March","Mar","75","11","9082","9088","5","3","9071","9101","31","16","1","8871","9101","90","75","1990","8871","10001","365"
"9087","1990-03-17","Saturday, March 17, 1990","Mar 17, 1990","Saturday","Sat","March","Mar","76","11","9082","9088","6","3","9071","9101","31","17","1","8871","9101","90","76","1990","8871","10001","365"
"9088","1990-03-18","Sunday, March 18, 1990","Mar 18, 1990","Sunday","Sun","March","Mar","77","11","9082","9088","7","3","9071","9101","31","18","1","8871","9101","90","77","1990","8871","10001","365"
"9089","1990-03-19","Monday, March 19, 1990","Mar 19, 1990","Monday","Mon","March","Mar","78","12","9089","9095","1","3","9071","9101","31","19","1","8871","9101","90","78","1990","8871","10001","365"
"9090","1990-03-20","Tuesday, March 20, 1990","Mar 20, 1990","Tuesday","Tue","March","Mar","79","12","9089","9095","2","3","9071","9101","31","20","1","8871","9101","90","79","1990","8871","10001","365"
"9091","1990-03-21","Wednesday, March 21, 1990","Mar 21, 1990","Wednesday","Wed","March","Mar","80","12","9089","9095","3","3","9071","9101","31","21","1","8871","9101","90","80","1990","8871","10001","365"
"9092","1990-03-22","Thursday, March 22, 1990","Mar 22, 1990","Thursday","Thu","March","Mar","81","12","9089","9095","4","3","9071","9101","31","22","1","8871","9101","90","81","1990","8871","10001","365"
"9093","1990-03-23","Friday, March 23, 1990","Mar 23, 1990","Friday","Fri","March","Mar","82","12","9089","9095","5","3","9071","9101","31","23","1","8871","9101","90","82","1990","8871","10001","365"
"9094","1990-03-24","Saturday, March 24, 1990","Mar 24, 1990","Saturday","Sat","March","Mar","83","12","9089","9095","6","3","9071","9101","31","24","1","8871","9101","90","83","1990","8871","10001","365"
"9095","1990-03-25","Sunday, March 25, 1990","Mar 25, 1990","Sunday","Sun","March","Mar","84","12","9089","9095","7","3","9071","9101","31","25","1","8871","9101","90","84","1990","8871","10001","365"
"9096","1990-03-26","Monday, March 26, 1990","Mar 26, 1990","Monday","Mon","March","Mar","85","13","9096","9171","1","3","9071","9101","31","26","1","8871","9101","90","85","1990","8871","10001","365"
"9097","1990-03-27","Tuesday, March 27, 1990","Mar 27, 1990","Tuesday","Tue","March","Mar","86","13","9096","9171","2","3","9071","9101","31","27","1","8871","9101","90","86","1990","8871","10001","365"
"9098","1990-03-28","Wednesday, March 28, 1990","Mar 28, 1990","Wednesday","Wed","March","Mar","87","13","9096","9171","3","3","9071","9101","31","28","1","8871","9101","90","87","1990","8871","10001","365"
"9099","1990-03-29","Thursday, March 29, 1990","Mar 29, 1990","Thursday","Thu","March","Mar","88","13","9096","9171","4","3","9071","9101","31","29","1","8871","9101","90","88","1990","8871","10001","365"
"9100","1990-03-30","Friday, March 30, 1990","Mar 30, 1990","Friday","Fri","March","Mar","89","13","9096","9171","5","3","9071","9101","31","30","1","8871","9101","90","89","1990","8871","10001","365"
"9101","1990-03-31","Saturday, March 31, 1990","Mar 31, 1990","Saturday","Sat","March","Mar","90","13","9096","9171","6","3","9071","9101","31","31","1","8871","9101","90","90","1990","8871","10001","365"
"9171","1990-04-01","Sunday, April 1, 1990","Apr 1, 1990","Sunday","Sun","April","Apr","91","13","9096","9171","7","4","9171","9200","30","1","2","9171","9400","91","1","1990","8871","10001","365"
"9172","1990-04-02","Monday, April 2, 1990","Apr 2, 1990","Monday","Mon","April","Apr","92","14","9172","9178","1","4","9171","9200","30","2","2","9171","9400","91","2","1990","8871","10001","365"
"9173","1990-04-03","Tuesday, April 3, 1990","Apr 3, 1990","Tuesday","Tue","April","Apr","93","14","9172","9178","2","4","9171","9200","30","3","2","9171","9400","91","3","1990","8871","10001","365"
"9174","1990-04-04","Wednesday, April 4, 1990","Apr 4, 1990","Wednesday","Wed","April","Apr","94","14","9172","9178","3","4","9171","9200","30","4","2","9171","9400","91","4","1990","8871","10001","365"
"9175","1990-04-05","Thursday, April 5, 1990","Apr 5, 1990","Thursday","Thu","April","Apr","95","14","9172","9178","4","4","9171","9200","30","5","2","9171","9400","91","5","1990","8871","10001","365"
"9176","1990-04-06","Friday, April 6, 1990","Apr 6, 1990","Friday","Fri","April","Apr","96","14","9172","9178","5","4","9171","9200","30","6","2","9171","9400","91","6","1990","8871","10001","365"
"9177","1990-04-07","Saturday, April 7, 1990","Apr 7, 1990","Saturday","Sat","April","Apr","97","14","9172","9178","6","4","9171","9200","30","7","2","9171","9400","91","7","1990","8871","10001","365"
"9178","1990-04-08","Sunday, April 8, 1990","Apr 8, 1990","Sunday","Sun","April","Apr","98","14","9172","9178","7","4","9171","9200","30","8","2","9171","9400","91","8","1990","8871","10001","365"
"9179","1990-04-09","Monday, April 9, 1990","Apr 9, 1990","Monday","Mon","April","Apr","99","15","9179","9185","1","4","9171","9200","30","9","2","9171","9400","91","9","1990","8871","10001","365"
"9180","1990-04-10","Tuesday, April 10, 1990","Apr 10, 1990","Tuesday","Tue","April","Apr","100","15","9179","9185","2","4","9171","9200","30","10","2","9171","9400","91","10","1990","8871","10001","365"
"9181","1990-04-11","Wednesday, April 11, 1990","Apr 11, 1990","Wednesday","Wed","April","Apr","101","15","9179","9185","3","4","9171","9200","30","11","2","9171","9400","91","11","1990","8871","10001","365"
"9182","1990-04-12","Thursday, April 12, 1990","Apr 12, 1990","Thursday","Thu","April","Apr","102","15","9179","9185","4","4","9171","9200","30","12","2","9171","9400","91","12","1990","8871","10001","365"
"9183","1990-04-13","Friday, April 13, 1990","Apr 13, 1990","Friday","Fri","April","Apr","103","15","9179","9185","5","4","9171","9200","30","13","2","9171","9400","91","13","1990","8871","10001","365"
"9184","1990-04-14","Saturday, April 14, 1990","Apr 14, 1990","Saturday","Sat","April","Apr","104","15","9179","9185","6","4","9171","9200","30","14","2","9171","9400","91","14","1990","8871","10001","365"
"9185","1990-04-15","Sunday, April 15, 1990","Apr 15, 1990","Sunday","Sun","April","Apr","105","15","9179","9185","7","4","9171","9200","30","15","2","9171","9400","91","15","1990","8871","10001","365"
"9186","1990-04-16","Monday, April 16, 1990","Apr 16, 1990","Monday","Mon","April","Apr","106","16","9186","9192","1","4","9171","9200","30","16","2","9171","9400","91","16","1990","8871","10001","365"
"9187","1990-04-17","Tuesday, April 17, 1990","Apr 17, 1990","Tuesday","Tue","April","Apr","107","16","9186","9192","2","4","9171","9200","30","17","2","9171","9400","91","17","1990","8871","10001","365"
"9188","1990-04-18","Wednesday, April 18, 1990","Apr 18, 1990","Wednesday","Wed","April","Apr","108","16","9186","9192","3","4","9171","9200","30","18","2","9171","9400","91","18","1990","8871","10001","365"
"9189","1990-04-19","Thursday, April 19, 1990","Apr 19, 1990","Thursday","Thu","April","Apr","109","16","9186","9192","4","4","9171","9200","30","19","2","9171","9400","91","19","1990","8871","10001","365"
"9190","1990-04-20","Friday, April 20, 1990","Apr 20, 1990","Friday","Fri","April","Apr","110","16","9186","9192","5","4","9171","9200","30","20","2","9171","9400","91","20","1990","8871","10001","365"
"9191","1990-04-21","Saturday, April 21, 1990","Apr 21, 1990","Saturday","Sat","April","Apr","111","16","9186","9192","6","4","9171","9200","30","21","2","9171","9400","91","21","1990","8871","10001","365"
"9192","1990-04-22","Sunday, April 22, 1990","Apr 22, 1990","Sunday","Sun","April","Apr","112","16","9186","9192","7","4","9171","9200","30","22","2","9171","9400","91","22","1990","8871","10001","365"
"9193","1990-04-23","Monday, April 23, 1990","Apr 23, 1990","Monday","Mon","April","Apr","113","17","9193","9199","1","4","9171","9200","30","23","2","9171","9400","91","23","1990","8871","10001","365"
"9194","1990-04-24","Tuesday, April 24, 1990","Apr 24, 1990","Tuesday","Tue","April","Apr","114","17","9193","9199","2","4","9171","9200","30","24","2","9171","9400","91","24","1990","8871","10001","365"
"9195","1990-04-25","Wednesday, April 25, 1990","Apr 25, 1990","Wednesday","Wed","April","Apr","115","17","9193","9199","3","4","9171","9200","30","25","2","9171","9400","91","25","1990","8871","10001","365"
"9196","1990-04-26","Thursday, April 26, 1990","Apr 26, 1990","Thursday","Thu","April","Apr","116","17","9193","9199","4","4","9171","9200","30","26","2","9171","9400","91","26","1990","8871","10001","365"
"9197","1990-04-27","Friday, April 27, 1990","Apr 27, 1990","Friday","Fri","April","Apr","117","17","9193","9199","5","4","9171","9200","30","27","2","9171","9400","91","27","1990","8871","10001","365"
"9198","1990-04-28","Saturday, April 28, 1990","Apr 28, 1990","Saturday","Sat","April","Apr","118","17","9193","9199","6","4","9171","9200","30","28","2","9171","9400","91","28","1990","8871","10001","365"
"9199","1990-04-29","Sunday, April 29, 1990","Apr 29, 1990","Sunday","Sun","April","Apr","119","17","9193","9199","7","4","9171","9200","30","29","2","9171","9400","91","29","1990","8871","10001","365"
"9200","1990-04-30","Monday, April 30, 1990","Apr 30, 1990","Monday","Mon","April","Apr","120","18","9200","9276","1","4","9171","9200","30","30","2","9171","9400","91","30","1990","8871","10001","365"
"9271","1990-05-01","Tuesday, May 1, 1990","May 1, 1990","Tuesday","Tue","May","May","121","18","9200","9276","2","5","9271","9301","31","1","2","9171","9400","91","31","1990","8871","10001","365"
"9272","1990-05-02","Wednesday, May 2, 1990","May 2, 1990","Wednesday","Wed","May","May","122","18","9200","9276","3","5","9271","9301","31","2","2","9171","9400","91","32","1990","8871","10001","365"
"9273","1990-05-03","Thursday, May 3, 1990","May 3, 1990","Thursday","Thu","May","May","123","18","9200","9276","4","5","9271","9301","31","3","2","9171","9400","91","33","1990","8871","10001","365"
"9274","1990-05-04","Friday, May 4, 1990","May 4, 1990","Friday","Fri","May","May","124","18","9200","9276","5","5","9271","9301","31","4","2","9171","9400","91","34","1990","8871","10001","365"
"9275","1990-05-05","Saturday, May 5, 1990","May 5, 1990","Saturday","Sat","May","May","125","18","9200","9276","6","5","9271","9301","31","5","2","9171","9400","91","35","1990","8871","10001","365"
"9276","1990-05-06","Sunday, May 6, 1990","May 6, 1990","Sunday","Sun","May","May","126","18","9200","9276","7","5","9271","9301","31","6","2","9171","9400","91","36","1990","8871","10001","365"
"9277","1990-05-07","Monday, May 7, 1990","May 7, 1990","Monday","Mon","May","May","127","19","9277","9283","1","5","9271","9301","31","7","2","9171","9400","91","37","1990","8871","10001","365"
"9278","1990-05-08","Tuesday, May 8, 1990","May 8, 1990","Tuesday","Tue","May","May","128","19","9277","9283","2","5","9271","9301","31","8","2","9171","9400","91","38","1990","8871","10001","365"
"9279","1990-05-09","Wednesday, May 9, 1990","May 9, 1990","Wednesday","Wed","May","May","129","19","9277","9283","3","5","9271","9301","31","9","2","9171","9400","91","39","1990","8871","10001","365"
"9280","1990-05-10","Thursday, May 10, 1990","May 10, 1990","Thursday","Thu","May","May","130","19","9277","9283","4","5","9271","9301","31","10","2","9171","9400","91","40","1990","8871","10001","365"
"9281","1990-05-11","Friday, May 11, 1990","May 11, 1990","Friday","Fri","May","May","131","19","9277","9283","5","5","9271","9301","31","11","2","9171","9400","91","41","1990","8871","10001","365"
"9282","1990-05-12","Saturday, May 12, 1990","May 12, 1990","Saturday","Sat","May","May","132","19","9277","9283","6","5","9271","9301","31","12","2","9171","9400","91","42","1990","8871","10001","365"
"9283","1990-05-13","Sunday, May 13, 1990","May 13, 1990","Sunday","Sun","May","May","133","19","9277","9283","7","5","9271","9301","31","13","2","9171","9400","91","43","1990","8871","10001","365"
"9284","1990-05-14","Monday, May 14, 1990","May 14, 1990","Monday","Mon","May","May","134","20","9284","9290","1","5","9271","9301","31","14","2","9171","9400","91","44","1990","8871","10001","365"
"9285","1990-05-15","Tuesday, May 15, 1990","May 15, 1990","Tuesday","Tue","May","May","135","20","9284","9290","2","5","9271","9301","31","15","2","9171","9400","91","45","1990","8871","10001","365"
"9286","1990-05-16","Wednesday, May 16, 1990","May 16, 1990","Wednesday","Wed","May","May","136","20","9284","9290","3","5","9271","9301","31","16","2","9171","9400","91","46","1990","8871","10001","365"
"9287","1990-05-17","Thursday, May 17, 1990","May 17, 1990","Thursday","Thu","May","May","137","20","9284","9290","4","5","9271","9301","31","17","2","9171","9400","91","47","1990","8871","10001","365"
"9288","1990-05-18","Friday, May 18, 1990","May 18, 1990","Friday","Fri","May","May","138","20","9284","9290","5","5","9271","9301","31","18","2","9171","9400","91","48","1990","8871","10001","365"
